frame_id,PHF,PHR,PFS,PS,PSP,PHP,flash,pattern
1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
6,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
7,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
13,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
15,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
16,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
22,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
23,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
24,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
25,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
26,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
27,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
28,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
29,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
30,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
31,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
32,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
33,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
44,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
45,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
54,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
55,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
56,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
58,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
59,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
60,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
61,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
62,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
63,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
64,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
65,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
66,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
67,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
68,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
70,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
71,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
73,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
84,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
85,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
86,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
87,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
88,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
89,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
90,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
91,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
92,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
93,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
97,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
98,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
99,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
