frame_idx,PS
1,False
2,False
3,False
4,False
5,True
6,True
7,True
8,False
9,False
10,False
11,False
12,False
13,True
14,False
15,True
16,True
17,False
18,False
19,False
20,False
21,False
22,True
23,True
24,False
25,True
26,True
27,True
28,True
29,True
30,True
31,False
32,True
33,True
34,False
35,False
36,False
37,False
38,False
39,False
40,False
41,False
42,False
43,False
44,True
45,True
46,False
47,False
48,False
49,False
50,False
51,False
52,False
53,False
54,True
55,True
56,False
57,False
58,False
59,False
60,False
61,False
62,True
63,False
64,False
65,False
66,False
67,False
68,False
69,False
70,True
71,True
72,False
73,False
74,False
75,False
76,False
77,False
78,False
79,False
80,False
81,False
82,False
83,False
84,False
85,False
86,False
87,True
88,True
89,False
90,False
91,True
92,True
93,True
94,False
95,False
96,False
97,False
98,False
99,False
100,False
101,True
102,True
103,False
104,True
105,True
106,False
107,False
108,False
109,False
110,False
111,False
112,False
113,False
114,False
115,False
116,False
117,False
118,False
119,True
120,False
121,False
122,False
123,False
124,False
125,False
126,False
127,False
128,False
129,False
130,True
131,True
132,True
133,True
134,True
135,True
136,True
137,False
138,True
139,True
140,True
141,True
142,False
143,False
144,False
145,False
146,True
147,True
148,True
149,False
150,False
151,False
152,False
153,False
154,False
155,True
156,True
157,False
158,False
159,False
160,False
161,True
162,True
163,False
164,False
165,False
166,False
167,False
168,True
169,True
170,True
171,True
172,False
173,True
174,True
175,True
176,True
177,False
178,False
179,False
180,False
181,False
182,False
183,False
184,False
185,True
186,False
187,False
188,True
189,True
190,True
191,True
192,True
193,False
194,True
195,True
196,False
197,False
198,True
199,True
200,False
201,False
202,True
203,True
204,False
205,True
206,True
207,False
208,False
209,False
210,False
211,False
212,False
213,False
214,True
215,True
216,False
217,True
218,True
219,True
220,False
221,True
222,True
223,True
224,True
225,True
226,True
227,True
228,True
229,True
230,True
231,True
232,True
233,True
234,False
235,False
236,True
237,True
238,True
239,False
240,False
241,True
242,True
243,True
244,True
245,True
246,True
247,False
248,False
249,False
250,False
251,False
252,True
253,True
254,True
255,True
256,True
257,False
258,True
259,True
260,True
261,False
262,True
263,True
264,True
265,True
266,True
267,True
268,True
269,False
270,True
271,True
272,True
273,True
274,True
275,False
276,False
277,False
278,True
279,True
280,True
281,False
282,True
283,True
284,False
285,False
286,False
287,True
288,True
289,True
290,True
291,True
292,False
293,False
294,False
295,False
296,False
297,False
298,True
299,True
300,True
301,True
302,True
303,True
304,True
305,True
306,True
307,True
308,False
309,False
310,True
311,True
312,True
313,False
314,False
315,True
316,True
317,False
318,True
