frame_idx,PS
1,False
2,False
3,False
4,False
5,True
6,True
7,True
8,True
9,True
10,False
11,False
12,False
13,False
14,False
15,False
16,False
17,False
18,False
19,True
20,True
21,True
22,True
23,False
24,False
25,False
26,False
27,False
28,False
29,True
30,True
31,True
32,True
33,True
34,False
35,False
36,False
37,False
38,False
39,False
40,False
41,False
42,False
43,True
44,True
45,True
46,True
47,False
48,False
49,False
50,False
51,False
52,False
53,True
54,True
55,True
56,True
57,False
58,False
59,False
60,False
61,False
62,False
63,False
64,False
65,False
66,False
67,True
68,True
69,True
70,True
71,False
72,False
73,False
74,False
75,False
76,False
77,True
78,True
79,True
80,True
81,False
82,False
83,False
84,False
85,False
86,False
87,False
88,False
89,False
90,True
91,True
92,True
93,True
94,True
95,False
96,False
97,False
98,False
99,False
100,True
101,True
102,True
103,True
104,True
105,False
106,False
107,False
108,False
109,False
110,False
111,False
112,False
113,False
114,True
115,True
116,True
117,True
118,False
119,False
120,False
121,False
122,False
123,False
124,True
125,True
126,True
127,True
128,False
129,False
130,False
131,False
132,False
133,False
134,False
135,False
136,False
137,False
138,True
139,True
140,True
141,True
142,False
143,False
144,False
145,False
146,False
147,False
148,True
149,True
150,True
151,True
152,False
153,False
154,False
155,False
156,False
157,False
158,False
159,False
160,False
161,True
162,True
163,True
164,True
165,False
166,False
167,False
168,False
169,False
170,False
171,True
172,True
173,True
174,True
175,False
176,False
177,False
178,False
179,False
180,False
181,False
182,False
183,False
184,False
185,True
186,True
187,True
188,True
189,False
190,False
191,False
192,False
193,False
194,False
195,True
196,True
197,True
198,True
199,False
200,False
201,False
202,False
203,False
204,False
205,False
206,False
207,False
208,False
209,True
210,True
211,True
212,True
213,False
214,False
215,False
216,False
217,False
218,False
219,True
220,True
221,True
222,True
223,False
224,False
225,False
226,False
227,False
228,False
229,False
230,False
231,False
232,True
233,True
234,True
235,True
236,False
237,False
238,False
239,False
240,False
