frame_idx,PHF
1,True
2,True
3,True
4,False
5,False
6,True
7,True
8,False
9,True
10,True
11,True
12,False
13,True
14,True
15,True
16,True
17,True
18,True
19,False
20,True
21,True
22,True
23,False
24,True
25,True
26,True
27,False
28,False
29,True
30,True
31,True
32,True
33,True
34,True
35,True
36,False
37,False
38,False
39,False
40,True
41,True
42,True
43,False
44,True
45,True
46,True
47,True
48,True
49,False
50,True
51,True
52,False
53,False
54,False
55,False
56,False
57,False
58,False
59,False
60,False
61,True
62,True
63,True
64,False
65,True
66,True
67,True
68,False
69,True
70,True
71,True
72,False
73,False
74,False
75,True
76,True
77,True
78,False
79,False
80,True
81,True
82,False
83,False
84,True
85,True
86,True
87,True
88,True
89,True
90,True
91,False
92,False
93,False
94,False
95,False
96,True
97,True
98,True
99,True
100,True
101,True
102,True
103,True
104,True
105,True
106,True
107,True
108,True
109,True
110,False
111,False
112,False
113,False
114,True
115,False
116,False
117,False
118,False
119,True
120,True
121,True
122,True
123,False
124,True
125,False
126,False
127,True
128,True
129,True
130,False
131,True
132,False
133,True
134,True
135,True
136,False
137,True
138,True
139,True
140,False
141,True
142,True
143,True
144,True
145,False
146,True
147,True
148,True
149,False
150,True
151,False
152,False
153,False
154,False
155,False
156,True
157,True
158,True
159,True
160,True
161,True
162,True
163,True
164,True
165,True
166,True
167,True
168,True
169,True
170,False
171,False
172,False
173,False
174,False
175,True
176,True
177,True
178,True
179,True
180,False
181,False
182,False
183,False
184,False
185,False
186,True
187,True
188,True
189,False
190,True
191,True
192,False
193,False
194,False
195,True
196,True
197,True
198,False
199,True
200,False
201,True
202,True
203,True
204,True
205,True
206,True
207,False
208,False
209,False
210,False
211,True
212,True
213,False
214,True
215,False
216,True
217,True
218,True
219,True
220,True
221,True
222,False
223,True
224,True
225,True
226,True
227,False
228,True
229,True
230,True
231,True
232,False
233,False
234,False
235,True
236,True
237,True
238,False
239,False
240,True
241,True
242,True
243,False
244,True
245,True
246,True
247,False
248,False
249,True
250,True
251,True
252,False
253,False
254,False
255,False
256,False
257,False
258,False
259,False
260,False
261,False
262,False
263,False
264,False
265,False
266,False
267,False
268,False
269,True
270,True
271,True
272,True
273,False
274,True
275,True
276,True
277,False
278,False
279,False
280,False
281,False
282,False
283,True
284,True
285,True
286,False
287,True
288,True
289,True
290,True
291,True
292,True
293,False
294,True
295,True
296,True
297,True
298,True
299,True
300,True
301,True
302,True
303,True
304,False
305,True
306,True
307,True
308,True
309,True
310,True
311,True
312,True
313,True
314,True
315,True
316,False
317,True
318,True
319,True
320,True
321,True
322,True
323,False
324,True
325,True
326,True
327,False
328,True
329,True
330,True
331,True
332,True
333,True
334,True
335,True
336,False
337,False
338,False
339,True
340,True
341,True
342,True
343,False
344,False
345,False
346,True
347,True
348,True
349,True
350,True
351,True
352,False
353,False
354,False
