frame_idx,PHF
1,True
2,True
3,True
4,True
5,True
6,True
7,False
8,False
9,False
10,False
11,False
12,False
13,False
14,False
15,False
16,False
17,True
18,True
19,True
20,True
21,True
22,True
23,True
24,True
25,True
26,True
27,True
28,True
29,True
30,True
31,True
32,True
33,True
34,True
35,True
36,True
37,False
38,False
39,False
40,False
41,False
42,False
43,False
44,False
45,False
46,False
47,False
48,False
49,False
50,False
51,False
52,False
53,False
54,False
55,False
56,False
57,False
58,False
59,False
60,False
61,False
62,False
63,False
64,True
65,True
66,True
67,True
68,True
69,True
70,True
71,True
72,True
73,True
74,False
75,False
76,True
77,True
78,True
79,True
80,True
81,True
82,True
83,True
84,True
85,True
86,True
87,True
88,False
89,False
90,False
91,False
92,False
93,True
94,True
95,True
96,True
97,True
98,True
99,False
100,False
101,False
102,False
103,True
104,False
105,False
106,True
107,False
108,False
109,False
110,False
111,False
112,True
113,True
114,True
115,False
116,True
117,True
118,True
119,True
120,True
121,True
122,True
123,True
124,False
125,False
126,True
127,True
128,True
129,True
130,True
131,True
132,True
133,True
134,True
135,True
136,True
137,True
138,False
139,False
140,False
141,True
142,True
143,True
144,True
145,False
146,False
147,True
148,True
149,True
150,False
151,False
152,False
153,False
154,False
155,False
156,False
157,False
158,False
159,True
160,True
161,True
162,True
163,True
164,True
165,True
166,True
167,True
168,True
169,False
170,False
171,False
172,False
173,False
174,False
175,False
176,True
177,True
178,True
179,True
180,False
181,False
182,False
183,True
184,True
185,True
186,True
187,True
188,True
189,True
190,True
191,True
192,True
193,True
194,True
195,True
196,True
197,True
198,True
199,True
200,True
201,True
202,True
203,True
204,True
205,True
206,True
207,True
208,True
209,False
210,False
211,False
212,False
213,False
214,False
215,False
216,False
217,False
218,True
219,True
220,True
221,True
222,True
223,False
224,False
225,False
226,True
227,True
228,True
229,True
230,True
231,True
232,True
233,True
234,True
235,True
236,True
237,True
238,True
239,True
240,True
241,False
242,False
243,False
244,False
245,False
246,False
247,False
248,False
249,False
250,False
251,False
252,False
253,False
254,False
255,False
256,False
257,False
258,False
259,False
260,False
261,False
262,False
263,False
264,False
265,False
266,False
267,False
268,False
269,False
270,False
271,False
272,False
273,False
274,False
275,False
276,False
277,False
278,False
279,False
280,False
281,False
282,False
283,False
284,False
285,False
286,False
287,False
288,False
289,False
290,False
291,False
292,False
293,False
294,False
295,False
296,False
297,False
298,False
299,False
300,False
301,False
302,False
303,False
304,False
305,False
306,False
307,False
308,False
309,False
310,False
311,False
312,False
313,False
314,False
315,False
316,False
317,False
318,False
319,False
320,False
321,False
322,False
323,False
324,False
325,False
326,False
327,False
328,False
329,False
330,False
331,False
332,False
333,False
334,False
335,False
336,False
337,False
338,False
339,False
340,False
341,False
342,False
343,False
344,False
345,False
346,False
347,False
348,False
349,False
350,False
351,False
352,False
353,False
354,False
355,False
356,False
357,False
358,False
359,False
360,False
361,False
362,False
363,False
364,False
365,False
366,False
367,False
368,False
369,False
370,False
371,False
372,False
373,False
374,False
375,False
376,False
377,False
378,False
379,False
380,False
381,True
382,True
383,True
384,True
385,True
386,True
387,True
388,False
389,False
390,False
391,True
392,True
393,True
394,True
395,True
396,False
397,False
398,True
399,True
400,True
401,True
402,True
403,True
404,False
405,True
406,True
407,True
408,True
409,True
410,True
411,True
412,True
413,True
414,True
415,True
416,True
417,True
418,True
419,True
420,True
421,True
422,True
423,True
424,True
425,True
426,True
427,True
428,True
429,False
430,False
431,False
432,False
433,False
434,False
435,True
436,True
437,True
438,True
439,True
440,True
